Datum ,Niederschlag (l/m^2),Sonnenschein (h),Schneehöhe (cm)
01.07.2013,0.3,6,-
02.07.2013,0.1,8.5,-
03.07.2013,10.2,2,-
04.07.2013,0,0.2,-
05.07.2013,0,8.1,-
06.07.2013,0,16,-
07.07.2013,0,15.1,-
08.07.2013,0,14.5,-
09.07.2013,0,14.5,-
10.07.2013,0,11.4,-
11.07.2013,0,14.8,-
12.07.2013,0,14.4,-
13.07.2013,0,8.7,-
14.07.2013,0,6.2,-
15.07.2013,0,7.9,-
16.07.2013,0,9.2,-
17.07.2013,0,9.1,-
18.07.2013,0,13.2,-
19.07.2013,0,9,-
20.07.2013,0,15.6,-
21.07.2013,0,15.7,-
22.07.2013,0,15.6,-
23.07.2013,0,15.3,-
24.07.2013,2.1,10.3,-
25.07.2013,0.1,8.2,-
26.07.2013,0,6.6,-
27.07.2013,24.4,8.8,-
28.07.2013,0,6.8,-
29.07.2013,0.5,7,-
30.07.2013,19.9,7.8,-
31.07.2013,0.4,9.3,-
01.08.2013,0,5.3,-
02.08.2013,0,15,-
03.08.2013,2.3,7.1,-
04.08.2013,0,11.3,-
05.08.2013,0,11.4,-
06.08.2013,0,9.5,-
07.08.2013,13.4,8.7,-
08.08.2013,0,0.8,-
09.08.2013,0.2,9.4,-
10.08.2013,1.2,4.5,-
11.08.2013,11.1,3.1,-
12.08.2013,2.9,2.3,-
13.08.2013,5.2,9.2,-
14.08.2013,0,10.2,-
15.08.2013,0.1,7.7,-
16.08.2013,8.2,5.5,-
17.08.2013,0.2,3.9,-
18.08.2013,1,0.7,-
19.08.2013,0,5.5,-
20.08.2013,0,4.7,-
21.08.2013,0,9.6,-
22.08.2013,0,7.2,-
23.08.2013,0,12.4,-
24.08.2013,0,13.5,-
25.08.2013,0,13.5,-
26.08.2013,0,13.5,-
27.08.2013,0,11.1,-
28.08.2013,0,11.1,-
29.08.2013,0,8.5,-
30.08.2013,0,0.8,-
31.08.2013,1.6,3.7,-
01.09.2013,8.3,3.9,-
