Datum,Sonnenaufgang,Sonnenuntergang,Tageslaenge,Niederschlag (l/m^2),Sonnenschein (h),Schneehoehe (cm),Sonnenschein (%),Tageslaenge (dezimal)
2013-07-01,4:50:12,21:56:46,17:06:34,0.3,6,-,0.350877193,17.1
2013-07-02,4:51:02,21:56:18,17:05:16,0.1,8.5,-,0.49765808,17.08
2013-07-03,4:51:55,21:55:48,17:03:53,10.2,2,-,0.117302053,17.05
2013-07-04,4:52:50,21:55:13,17:02:23,0,0.2,-,0.011743981,17.03
2013-07-05,4:53:49,21:54:35,17:00:46,0,8.1,-,0.476470588,17
2013-07-06,4:54:50,21:53:54,16:59:04,0,16,-,0.942285041,16.98
2013-07-07,4:55:54,21:53:09,16:57:15,0,15.1,-,0.890855457,16.95
2013-07-08,4:57:00,21:52:22,16:55:22,0,14.5,-,0.856973995,16.92
2013-07-09,4:58:09,21:51:30,16:53:21,0,14.5,-,0.859004739,16.88
2013-07-10,4:59:20,21:50:36,16:51:16,0,11.4,-,0.676557864,16.85
2013-07-11,5:00:33,21:49:38,16:49:05,0,14.8,-,0.879904875,16.82
2013-07-12,5:01:49,21:48:37,16:46:48,0,14.4,-,0.858676208,16.77
2013-07-13,5:03:07,21:47:33,16:44:26,0,8.7,-,0.520023909,16.73
2013-07-14,5:04:27,21:46:27,16:42:00,0,6.2,-,0.371257485,16.7
2013-07-15,5:05:48,21:45:17,16:39:29,0,7.9,-,0.474474474,16.65
2013-07-16,5:07:12,21:44:04,16:36:52,0,9.2,-,0.554216867,16.6
2013-07-17,5:08:38,21:42:48,16:34:10,0,9.1,-,0.549185275,16.57
2013-07-18,5:10:05,21:41:30,16:31:25,0,13.2,-,0.799031477,16.52
2013-07-19,5:11:34,21:40:09,16:28:35,0,9,-,0.546448087,16.47
2013-07-20,5:13:04,21:38:45,16:25:41,0,15.6,-,0.950060901,16.42
2013-07-21,5:14:36,21:37:19,16:22:43,0,15.7,-,0.959071472,16.37
2013-07-22,5:16:09,21:35:50,16:19:41,0,15.6,-,0.955882353,16.32
2013-07-23,5:17:43,21:34:18,16:16:35,0,15.3,-,0.940381069,16.27
2013-07-24,5:19:19,21:32:45,16:13:26,2.1,10.3,-,0.635018496,16.22
2013-07-25,5:20:56,21:31:08,16:10:12,0.1,8.2,-,0.507111936,16.17
2013-07-26,5:22:34,21:29:30,16:06:56,0,6.6,-,0.409937888,16.1
2013-07-27,5:24:13,21:27:49,16:03:36,24.4,8.8,-,0.548286604,16.05
2013-07-28,5:25:53,21:26:07,16:00:14,0,6.8,-,0.425,16
2013-07-29,5:27:34,21:24:22,15:56:48,0.5,7,-,0.439422473,15.93
