id,Datum,Warengruppe,Umsatz
1808014,2018-08-01,4,73.76075592896524
1808024,2018-08-02,4,72.7780990306646
1808034,2018-08-03,4,71.43259557158903
1808044,2018-08-04,4,80.58620408834342
1808054,2018-08-05,4,128.9776310095294
1808064,2018-08-06,4,75.65541750063406
1808074,2018-08-07,4,66.50434064161783
1808084,2018-08-08,4,68.29744464701909
1808094,2018-08-09,4,72.94078380960934
1808104,2018-08-10,4,78.80223609207655
1808114,2018-08-11,4,81.27480073772692
1808124,2018-08-12,4,132.1207324406316
1808134,2018-08-13,4,72.87548518549212
1808144,2018-08-14,4,74.23104896166026
1808154,2018-08-15,4,73.51405997970099
1808164,2018-08-16,4,72.40619184163701
1808174,2018-08-17,4,76.87360376641746
1808184,2018-08-18,4,84.57512412097277
1808194,2018-08-19,4,130.11729564426895
1808204,2018-08-20,4,77.77248456142016
1808214,2018-08-21,4,80.41440501223171
1808224,2018-08-22,4,74.52323573060124
1808234,2018-08-23,4,75.74316529349517
1808244,2018-08-24,4,81.10505007110838
1808254,2018-08-25,4,83.26299193176878
1808264,2018-08-26,4,137.9588862149803
1808274,2018-08-27,4,80.69209143312625
1808284,2018-08-28,4,79.50237307063384
1808294,2018-08-29,4,77.43117321305473
1808304,2018-08-30,4,73.23827732712412
1808314,2018-08-31,4,80.91253791298114
1809014,2018-09-01,4,89.49269301740426
1809024,2018-09-02,4,134.62586401260256
1809034,2018-09-03,4,77.09119997087852
1809044,2018-09-04,4,77.96340512087409
1809054,2018-09-05,4,78.0161538204855
1809064,2018-09-06,4,77.98029645837423
1809074,2018-09-07,4,78.01760623711415
1809084,2018-09-08,4,112.6080877765869
1809094,2018-09-09,4,158.53983213971532
1809104,2018-09-10,4,76.55765531826401
1809114,2018-09-11,4,78.72979712647184
1809124,2018-09-12,4,80.20625827972839
1809134,2018-09-13,4,80.92485676295107
1809144,2018-09-14,4,79.70792364335914
1809154,2018-09-15,4,112.81623525646074
1809164,2018-09-16,4,159.4453180821368
1809174,2018-09-17,4,106.27958203410395
1809184,2018-09-18,4,107.1219584352589
1809194,2018-09-19,4,105.65126333967234
1809204,2018-09-20,4,103.62119067867025
1809214,2018-09-21,4,81.57163150669744
1809224,2018-09-22,4,94.49129206379632
1809234,2018-09-23,4,138.22047851281215
1809244,2018-09-24,4,87.53814318503913
1809254,2018-09-25,4,85.50574070853806
1809264,2018-09-26,4,81.06095639609524
1809274,2018-09-27,4,77.66151974676114
1809284,2018-09-28,4,86.5455198462325
1809294,2018-09-29,4,92.25865389087768
1809304,2018-09-30,4,136.8733068257989
1810014,2018-10-01,4,82.69939507729768
1810024,2018-10-02,4,82.48792140620586
1810034,2018-10-03,4,82.68572811233082
1810044,2018-10-04,4,77.28258049530464
1810054,2018-10-05,4,77.17887285115302
1810064,2018-10-06,4,90.2277870860371
1810074,2018-10-07,4,138.8562238517005
1810084,2018-10-08,4,79.5548311682301
1810094,2018-10-09,4,78.47827632159641
1810104,2018-10-10,4,77.96510869018721
1810114,2018-10-11,4,76.08089075337338
1810124,2018-10-12,4,73.96987068932592
1810134,2018-10-13,4,113.86451670250707
1810144,2018-10-14,4,159.70096552451642
1810154,2018-10-15,4,74.62509680563099
1810164,2018-10-16,4,73.10563366764913
1810174,2018-10-17,4,73.66489544958227
1810184,2018-10-18,4,80.6386066540322
1810194,2018-10-19,4,82.96758026824878
1810204,2018-10-20,4,114.67176964210566
