id,Datum,Warengruppe,Umsatz
1811016,2018-11-01,6,45.15899133049269
1811026,2018-11-02,6,48.91743217041629
1811036,2018-11-03,6,57.62446521936275
1811046,2018-11-04,6,46.0196048527472
1811056,2018-11-05,6,40.75968925522397
1811066,2018-11-06,6,41.75409877847911
1811076,2018-11-07,6,49.38608969520848
1811086,2018-11-08,6,43.99158084153672
1811096,2018-11-09,6,46.98742665798666
1811106,2018-11-10,6,44.94308041423983
1811116,2018-11-11,6,45.97030797341144
1811126,2018-11-12,6,40.71733079158335
1811136,2018-11-13,6,41.166324381713686
1811146,2018-11-14,6,41.42895298074571
1811156,2018-11-15,6,50.72115944956092
1811166,2018-11-16,6,57.768466106236346
1811176,2018-11-17,6,58.23523210306385
1811186,2018-11-18,6,46.34265915071664
1811196,2018-11-19,6,43.70328311194073
1811206,2018-11-20,6,42.68699935087202
1811216,2018-11-21,6,44.64690025014781
1811226,2018-11-22,6,43.77561186643587
1811236,2018-11-23,6,48.58344622924648
1811246,2018-11-24,6,47.60494136720702
1811256,2018-11-25,6,46.88061163895247
1811266,2018-11-26,6,85.09185007895971
1811276,2018-11-27,6,82.96630733758917
1811286,2018-11-28,6,88.78772097142657
1811296,2018-11-29,6,82.58084531845957
1811306,2018-11-30,6,91.41644396420467
1812016,2018-12-01,6,87.18662789013905
1812026,2018-12-02,6,86.85199602737819
1812036,2018-12-03,6,81.60365799464638
1812046,2018-12-04,6,93.0257086356462
1812056,2018-12-05,6,92.35680304044187
1812066,2018-12-06,6,82.9930156020586
1812076,2018-12-07,6,86.53856774837884
1812086,2018-12-08,6,87.0807317310375
1812096,2018-12-09,6,88.999342846156
1812106,2018-12-10,6,87.53434350196602
1812116,2018-12-11,6,85.01475226660102
1812126,2018-12-12,6,84.29643234296765
1812136,2018-12-13,6,84.28071289673335
1812146,2018-12-14,6,89.4697734323095
1812156,2018-12-15,6,89.87392716939743
1812166,2018-12-16,6,90.20944535816965
1812176,2018-12-17,6,85.05163693499257
1812186,2018-12-18,6,83.47166624119757
1812196,2018-12-19,6,84.19599596945211
1812206,2018-12-20,6,83.61568501757566
1812216,2018-12-21,6,88.13548182763007
1812226,2018-12-22,6,88.15663670750916
1812236,2018-12-23,6,87.42807113289058
1812246,2018-12-24,6,45.23522465592576
1812276,2018-12-27,6,43.44650903632412
1812286,2018-12-28,6,48.53842967201497
