Datum,Temperatur,Monat,Jahreszeit,Frühling,Sommer,Herbst,Winter,Temp_warm,Temp_cold,Temp_average
2012-01-01,9.825,1,Winter,0,0,0,1,1,0,0
2012-01-02,7.4375,1,Winter,0,0,0,1,0,0,1
2012-01-03,5.5375,1,Winter,0,0,0,1,0,0,1
2012-01-04,5.6875,1,Winter,0,0,0,1,0,0,1
2012-01-05,5.3,1,Winter,0,0,0,1,0,0,1
2012-01-06,2.625,1,Winter,0,0,0,1,0,0,1
2012-01-07,6.528571,1,Winter,0,0,0,1,0,0,1
2012-01-08,5.9625,1,Winter,0,0,0,1,0,0,1
2012-01-09,5.15,1,Winter,0,0,0,1,0,0,1
2012-01-10,6.1125,1,Winter,0,0,0,1,0,0,1
2012-01-11,7.8625,1,Winter,0,0,0,1,1,0,0
2012-01-12,7.4375,1,Winter,0,0,0,1,0,0,1
2012-01-13,4.8,1,Winter,0,0,0,1,0,0,1
2012-01-14,2.8875,1,Winter,0,0,0,1,0,0,1
2012-01-15,2.225,1,Winter,0,0,0,1,0,0,1
2012-01-16,3.0625,1,Winter,0,0,0,1,0,0,1
2012-01-17,4.4875,1,Winter,0,0,0,1,0,0,1
2012-01-18,2.35,1,Winter,0,0,0,1,0,0,1
2012-01-19,5.2625,1,Winter,0,0,0,1,0,0,1
2012-01-20,3.4375,1,Winter,0,0,0,1,0,0,1
2012-01-21,3.5375,1,Winter,0,0,0,1,0,0,1
2012-01-22,3.7875,1,Winter,0,0,0,1,0,0,1
2012-01-23,2.2125,1,Winter,0,0,0,1,0,0,1
2012-01-24,1.7625,1,Winter,0,0,0,1,0,0,1
2012-01-25,-0.1875,1,Winter,0,0,0,1,0,1,0
2012-01-26,0.3625,1,Winter,0,0,0,1,0,0,1
2012-01-27,-1.0,1,Winter,0,0,0,1,0,1,0
2012-01-28,-1.3875,1,Winter,0,0,0,1,0,1,0
2012-01-29,-3.1625,1,Winter,0,0,0,1,0,1,0
2012-01-30,-2.275,1,Winter,0,0,0,1,0,1,0
2012-01-31,-2.375,1,Winter,0,0,0,1,0,1,0
2012-02-01,-1.825,2,Winter,0,0,0,1,0,1,0
2012-02-02,-5.85,2,Winter,0,0,0,1,0,1,0
2012-02-03,-5.85,2,Winter,0,0,0,1,0,1,0
2012-02-04,-7.5375,2,Winter,0,0,0,1,0,1,0
2012-02-05,-7.7125,2,Winter,0,0,0,1,0,1,0
2012-02-06,-10.25,2,Winter,0,0,0,1,0,1,0
2012-02-07,-3.0,2,Winter,0,0,0,1,0,1,0
2012-02-08,-2.7625,2,Winter,0,0,0,1,0,1,0
2012-02-09,-1.6625,2,Winter,0,0,0,1,0,1,0
2012-02-10,-2.8125,2,Winter,0,0,0,1,0,1,0
2012-02-11,-4.575,2,Winter,0,0,0,1,0,1,0
2012-02-12,-1.2375,2,Winter,0,0,0,1,0,1,0
2012-02-13,-2.325,2,Winter,0,0,0,1,0,1,0
2012-02-14,1.3,2,Winter,0,0,0,1,0,0,1
2012-02-15,4.8625,2,Winter,0,0,0,1,0,0,1
2012-02-16,2.9625,2,Winter,0,0,0,1,0,0,1
2012-02-17,5.5625,2,Winter,0,0,0,1,0,0,1
2012-02-18,6.175,2,Winter,0,0,0,1,0,0,1
2012-02-19,4.2,2,Winter,0,0,0,1,0,0,1
2012-02-20,4.1125,2,Winter,0,0,0,1,0,0,1
2012-02-21,4.95,2,Winter,0,0,0,1,0,0,1
2012-02-22,7.175,2,Winter,0,0,0,1,0,0,1
2012-02-23,8.4125,2,Winter,0,0,0,1,1,0,0
2012-02-24,8.35,2,Winter,0,0,0,1,1,0,0
2012-02-25,6.525,2,Winter,0,0,0,1,0,0,1
2012-02-26,4.675,2,Winter,0,0,0,1,0,0,1
2012-02-27,3.725,2,Winter,0,0,0,1,0,0,1
2012-02-28,7.675,2,Winter,0,0,0,1,0,0,1
2012-02-29,7.775,2,Winter,0,0,0,1,1,0,0
2012-03-01,7.625,3,Frühling,1,0,0,0,0,0,1
2012-03-02,5.9125,3,Frühling,1,0,0,0,0,1,0
2012-03-03,7.0375,3,Frühling,1,0,0,0,0,0,1
2012-03-04,4.675,3,Frühling,1,0,0,0,0,1,0
2012-03-05,4.875,3,Frühling,1,0,0,0,0,1,0
2012-03-06,4.5125,3,Frühling,1,0,0,0,0,1,0
2012-03-07,4.05,3,Frühling,1,0,0,0,0,1,0
2012-03-08,7.5125,3,Frühling,1,0,0,0,0,0,1
2012-03-09,7.825,3,Frühling,1,0,0,0,0,0,1
2012-03-10,8.7,3,Frühling,1,0,0,0,0,0,1
2012-03-11,8.95,3,Frühling,1,0,0,0,0,0,1
2012-03-12,9.0125,3,Frühling,1,0,0,0,0,0,1
2012-03-13,9.95,3,Frühling,1,0,0,0,0,0,1
2012-03-14,7.7875,3,Frühling,1,0,0,0,0,0,1
2012-03-15,7.4,3,Frühling,1,0,0,0,0,0,1
2012-03-16,12.0375,3,Frühling,1,0,0,0,0,0,1
2012-03-17,9.775,3,Frühling,1,0,0,0,0,0,1
2012-03-18,9.8375,3,Frühling,1,0,0,0,0,0,1
2012-03-19,8.1125,3,Frühling,1,0,0,0,0,0,1
2012-03-20,8.0875,3,Frühling,1,0,0,0,0,0,1
2012-03-21,12.625,3,Frühling,1,0,0,0,0,0,1
2012-03-22,12.7625,3,Frühling,1,0,0,0,0,0,1
2012-03-23,13.4875,3,Frühling,1,0,0,0,0,0,1
2012-03-24,7.8375,3,Frühling,1,0,0,0,0,0,1
2012-03-25,13.1375,3,Frühling,1,0,0,0,0,0,1
2012-03-26,8.4875,3,Frühling,1,0,0,0,0,0,1
2012-03-27,15.5,3,Frühling,1,0,0,0,0,0,1
2012-03-28,14.8375,3,Frühling,1,0,0,0,0,0,1
2012-03-29,8.9875,3,Frühling,1,0,0,0,0,0,1
2012-03-30,9.9625,3,Frühling,1,0,0,0,0,0,1
2012-03-31,6.1125,3,Frühling,1,0,0,0,0,1,0
2012-04-01,6.525,4,Frühling,1,0,0,0,0,0,1
2012-04-02,5.5875,4,Frühling,1,0,0,0,0,1,0
2012-04-03,3.3,4,Frühling,1,0,0,0,0,1,0
2012-04-04,4.5875,4,Frühling,1,0,0,0,0,1,0
2012-04-05,5.6375,4,Frühling,1,0,0,0,0,1,0
2012-04-06,6.2,4,Frühling,1,0,0,0,0,1,0
2012-04-07,3.7125,4,Frühling,1,0,0,0,0,1,0
2012-04-08,5.75,4,Frühling,1,0,0,0,0,1,0
2012-04-09,6.5125,4,Frühling,1,0,0,0,0,0,1
2012-04-10,10.5875,4,Frühling,1,0,0,0,0,0,1
2012-04-11,10.475,4,Frühling,1,0,0,0,0,0,1
2012-04-12,9.575,4,Frühling,1,0,0,0,0,0,1
2012-04-13,8.725,4,Frühling,1,0,0,0,0,0,1
2012-04-14,8.8125,4,Frühling,1,0,0,0,0,0,1
2012-04-15,8.075,4,Frühling,1,0,0,0,0,0,1
2012-04-16,7.5,4,Frühling,1,0,0,0,0,0,1
2012-04-17,8.0375,4,Frühling,1,0,0,0,0,0,1
2012-04-18,9.6125,4,Frühling,1,0,0,0,0,0,1
2012-04-19,14.2375,4,Frühling,1,0,0,0,0,0,1
2012-04-20,9.225,4,Frühling,1,0,0,0,0,0,1
2012-04-21,12.2,4,Frühling,1,0,0,0,0,0,1
2012-04-22,9.9875,4,Frühling,1,0,0,0,0,0,1
2012-04-23,9.95,4,Frühling,1,0,0,0,0,0,1
2012-04-24,10.0,4,Frühling,1,0,0,0,0,0,1
2012-04-25,11.6375,4,Frühling,1,0,0,0,0,0,1
2012-04-26,14.1875,4,Frühling,1,0,0,0,0,0,1
2012-04-27,14.925,4,Frühling,1,0,0,0,0,0,1
2012-04-28,9.5125,4,Frühling,1,0,0,0,0,0,1
2012-04-29,11.4625,4,Frühling,1,0,0,0,0,0,1
2012-04-30,16.2375,4,Frühling,1,0,0,0,0,0,1
2012-05-01,13.4125,5,Frühling,1,0,0,0,0,0,1
2012-05-02,13.45,5,Frühling,1,0,0,0,0,0,1
2012-05-03,16.6,5,Frühling,1,0,0,0,1,0,0
2012-05-04,12.65,5,Frühling,1,0,0,0,0,0,1
2012-05-05,10.5,5,Frühling,1,0,0,0,0,0,1
2012-05-06,8.6,5,Frühling,1,0,0,0,0,0,1
2012-05-07,7.575,5,Frühling,1,0,0,0,0,0,1
2012-05-08,16.075,5,Frühling,1,0,0,0,0,0,1
2012-05-09,16.85,5,Frühling,1,0,0,0,1,0,0
2012-05-10,17.85,5,Frühling,1,0,0,0,1,0,0
2012-05-11,16.525,5,Frühling,1,0,0,0,1,0,0
2012-05-12,9.3875,5,Frühling,1,0,0,0,0,0,1
2012-05-13,11.0125,5,Frühling,1,0,0,0,0,0,1
2012-05-14,14.525,5,Frühling,1,0,0,0,0,0,1
2012-05-15,11.45,5,Frühling,1,0,0,0,0,0,1
2012-05-16,8.8875,5,Frühling,1,0,0,0,0,0,1
2012-05-17,10.8125,5,Frühling,1,0,0,0,0,0,1
