Event Name,Start Date (YYYY-MM-DD),End Date (YYYY-MM-DD)
Kieler Woche 2019,2019-06-21,2019-06-21
Kiel Herbstmarkt 2018,2018-09-28,2018-10-07
Kiel Frühjahrsmarkt 2018,2018-04-13,2018-04-22
Kiel Herbstmarkt 2017,2017-10-12,2017-10-16
Kiel Frühjahrsmarkt 2017,2017-04-15,2017-04-23
Kiel Herbstmarkt 2016,2016-09-29,2016-10-03
Kieler Woche 2016,2016-06-17,2016-06-17
Kiel Frühjahrsmarkt 2016,2016-04-15,2016-04-24
Kiel Herbstmarkt 2015,2015-09-30,2015-10-04
Kiel Frühjahrsmarkt 2015,2015-04-17,2015-04-26
Kiel Herbstmarkt 2014,2014-10-01,2014-10-05
Kieler Woche 2014,2014-06-20,2014-06-20
Kiel Frühjahrsmarkt 2014,2014-04-19,2014-04-27
Kieler Umschlag 2014,2014-02-27,2014-03-02
Kiel Herbstmarkt 2013,2013-09-27,2013-10-06
Kieler Woche 2013,2013-06-21,2013-06-30
Kiel Frühjahrsmarkt 2013,2013-04-19,2013-04-28
Kieler Umschlag 2013,2013-02-28,2013-03-03
